n_flagged,review_rate,threshold,frauds_caught,frauds_missed,false_alarms,recall,precision,cost_missed,cost_caught,cost_false_alarm,total_cost,savings
5428,0.04595793680360348,0.09894908446301008,2447.0,1617.0,2981.0,0.6021161417322834,0.45081061164333086,310575.9249999924,49883.84109999996,14905.0,375364.7660999924,336169.5698999997
5487,0.046457479594947,0.09764011275575192,2456.0,1608.0,3031.0,0.6043307086614174,0.44760342628029887,309009.76299999247,50076.45729999995,15155.0,374241.2202999924,337293.1156999997
5546,0.046957022386290515,0.09634051846687997,2464.0,1600.0,3082.0,0.6062992125984252,0.44428416877028487,307016.7729999925,50307.75629999995,15410.0,372734.5292999924,338799.80669999967
5605,0.04745656517763403,0.09516412055575642,2475.0,1589.0,3130.0,0.609005905511811,0.4415700267618198,305013.10099999246,50552.12349999996,15650.0,371215.22449999244,340319.11149999965
5664,0.04795610796897755,0.09367693231949148,2482.0,1582.0,3182.0,0.6107283464566929,0.4382062146892655,303155.43199999246,50765.89039999995,15910.0,369831.32239999244,341703.01359999966
5723,0.04845565076032106,0.09251138217469113,2489.0,1575.0,3234.0,0.6124507874015748,0.43491175956666084,301886.53199999244,50920.78039999996,16170.0,368977.31239999237,342557.0235999997
5782,0.048955193551664576,0.0913802244837864,2495.0,1569.0,3287.0,0.6139271653543307,0.43151158768592185,300897.7909999924,51043.65449999996,16435.0,368376.44549999235,343157.89049999975
5841,0.04945473634300809,0.08982150336777878,2506.0,1558.0,3335.0,0.6166338582677166,0.4290361239513782,299289.59299999237,51248.474299999965,16675.0,367213.0672999923,344321.2686999998
5900,0.04995427913435161,0.08862862973026081,2516.0,1548.0,3384.0,0.6190944881889764,0.4264406779661017,297609.8309999923,51456.45049999997,16920.0,365986.2814999923,345548.0544999998
5959,0.05045382192569513,0.08763048344274418,2526.0,1538.0,3433.0,0.6215551181102362,0.4238966269508307,296075.0449999923,51649.92909999997,17165.0,364889.97409999225,346644.36189999984
6018,0.050953364717038645,0.08651923172529084,2536.0,1528.0,3482.0,0.6240157480314961,0.42140245928880027,293154.97499999235,51981.93609999996,17410.0,362546.91109999234,348987.42489999975
6077,0.05145290750838216,0.0854004813286828,2545.0,1519.0,3532.0,0.62623031496063,0.41879216718775714,289947.97499999235,52338.63609999997,17660.0,359946.6110999923,351587.7248999998
6136,0.05195245029972567,0.08434883406785929,2553.0,1511.0,3583.0,0.6281988188976378,0.4160691003911343,288647.02499999234,52500.73109999997,17915.0,359062.7560999923,352471.5798999998
6195,0.05245199309106919,0.08324917232918794,2565.0,1499.0,3630.0,0.6311515748031497,0.41404358353510895,284595.7879999923,52953.854799999965,18150.0,355699.6427999923,355834.6931999998
6254,0.052951535882412706,0.082306786133345,2570.0,1494.0,3684.0,0.6323818897637795,0.41093700031979535,284196.3989999923,53013.79369999997,18420.0,355630.1926999923,355904.1432999998
6313,0.053451078673756224,0.08117938635796808,2574.0,1490.0,3739.0,0.6333661417322834,0.40773008078568035,283669.5849999923,53082.475099999974,18695.0,355447.06009999226,356087.27589999983
6372,0.05395062146509974,0.08002382062509246,2578.0,1486.0,3794.0,0.6343503937007874,0.40458254865034526,283255.49999999226,53139.88359999997,18970.0,355365.38359999226,356168.95239999983
6431,0.05445016425644326,0.07920873533296842,2583.0,1481.0,3848.0,0.6355807086614174,0.40164826621054267,282744.92399999226,53210.94119999997,19240.0,355195.8651999922,356338.4707999999
6490,0.05494970704778677,0.07834845624453268,2589.0,1475.0,3901.0,0.6370570866141733,0.3989214175654854,282152.9929999923,53294.13429999997,19505.0,354952.12729999225,356582.20869999984
6549,0.055449249839130285,0.07750205695038657,2595.0,1469.0,3954.0,0.6385334645669292,0.3962437013284471,281528.5639999923,53380.57719999997,19770.0,354679.1411999923,356855.1947999998
6608,0.0559487926304738,0.0766888710050404,2603.0,1461.0,4005.0,0.640501968503937,0.39391646489104115,279677.7269999923,53597.66089999997,20025.0,353300.38789999223,358233.94809999986
6667,0.05644833542181732,0.07576100761033971,2609.0,1455.0,4058.0,0.6419783464566929,0.3913304334783261,279065.06599999225,53682.926999999974,20290.0,353037.9929999922,358496.3429999999
6726,0.05694787821316084,0.07501417180669903,2618.0,1446.0,4108.0,0.6441929133858267,0.3892358013678264,276760.11599999224,53949.42199999998,20540.0,351249.5379999922,360284.7979999999
6785,0.057447421004504354,0.07414177108557787,2623.0,1441.0,4162.0,0.6454232283464567,0.3865880619012528,273510.80699999223,54294.352899999976,20810.0,348615.1598999922,362919.17609999987
6844,0.05794696379584787,0.07351969104104844,2627.0,1437.0,4217.0,0.6464074803149606,0.38383985973115137,272328.0389999922,54428.62969999998,21085.0,347841.6686999922,363692.6672999999
6903,0.05844650658719138,0.07273596364310997,2634.0,1430.0,4269.0,0.6481299212598425,0.38157322903085616,270421.6529999922,54647.26829999998,21345.0,346413.9212999922,365120.4146999999
6962,0.0589460493785349,0.07197854576401927,2645.0,1419.0,4317.0,0.6508366141732284,0.37991956334386673,267025.9709999922,55030.836499999976,21585.0,343641.8074999922,367892.5284999999
7021,0.059445592169878415,0.07125651979032395,2653.0,1411.0,4368.0,0.6528051181102362,0.3778664007976072,262561.50699999224,55509.28289999998,21840.0,339910.78989999223,371623.54609999986
7080,0.05994513496122193,0.07056194001090624,2658.0,1406.0,4422.0,0.6540354330708661,0.37542372881355934,261439.9209999923,55641.44149999997,22110.0,339191.36249999225,372342.97349999985
7139,0.06044467775256545,0.06974537175551968,2663.0,1401.0,4476.0,0.6552657480314961,0.37302143157304946,258538.80399999232,55951.553199999966,22380.0,336870.3571999923,374663.9787999998
7198,0.06094422054390897,0.06906170441648674,2672.0,1392.0,4526.0,0.65748031496063,0.3712142261739372,257277.36799999233,56113.69679999997,22630.0,336021.0647999923,375513.2711999998
7257,0.061443763335252484,0.06834910071820581,2679.0,1385.0,4578.0,0.6592027559055118,0.36916081025217035,256335.93099999236,56235.84049999996,22890.0,335461.77149999235,376072.56449999975
7316,0.061943306126595994,0.06753347645268881,2686.0,1378.0,4630.0,0.6609251968503937,0.36714051394204483,254595.13399999234,56437.920199999964,23150.0,334183.05419999233,377351.28179999976
7375,0.06244284891793951,0.06688189932430681,2692.0,1372.0,4683.0,0.6624015748031497,0.36501694915254235,253410.88499999233,56580.34509999997,23415.0,333406.2300999923,378128.1058999998
7434,0.06294239170928304,0.06620137656730471,2698.0,1366.0,4736.0,0.6638779527559056,0.3629270917406511,252439.87499999232,56701.446099999965,23680.0,332821.32109999226,378713.01489999983
7493,0.06344193450062655,0.06535370098525665,2704.0,1360.0,4789.0,0.6653543307086615,0.3608701454691045,251614.6319999923,56807.97039999997,23945.0,332367.6023999923,379166.7335999998
7552,0.06394147729197006,0.06465141372280064,2709.0,1355.0,4843.0,0.6665846456692913,0.3587129237288136,248676.6319999923,57121.77039999997,24215.0,330013.4023999923,381520.9335999998
7611,0.06444102008331358,0.06400477901938512,2715.0,1349.0,4896.0,0.6680610236220472,0.35672053606621995,247057.73199999228,57307.66039999997,24480.0,328845.39239999227,382688.9435999998
7670,0.06494056287465709,0.06339019855105187,2722.0,1342.0,4948.0,0.6697834645669292,0.3548891786179922,246333.50599999225,57408.08299999998,24740.0,328481.58899999224,383052.74699999986
7729,0.06544010566600061,0.06268886298110875,2734.0,1330.0,4995.0,0.672736220472441,0.35373269504463706,244412.7469999923,57648.15889999997,24975.0,327035.90589999227,384498.4300999998
7788,0.06593964845734412,0.06213531632671979,2740.0,1324.0,5048.0,0.6742125984251969,0.3518233179250128,243869.2129999923,57726.512299999966,25240.0,326835.72529999225,384698.61069999984
7847,0.06643919124868765,0.0616080873125241,2744.0,1320.0,5103.0,0.6751968503937008,0.3496877787689563,243386.0399999923,57790.82959999997,25515.0,326691.8695999923,384842.4663999998
7906,0.06693873404003116,0.06103664046143711,2747.0,1317.0,5159.0,0.6759350393700787,0.3474576271186441,242382.0399999923,57903.22959999997,25795.0,326080.26959999226,385454.06639999984
7965,0.06743827683137467,0.06045722490044825,2750.0,1314.0,5215.0,0.6766732283464567,0.34526051475204017,241731.73699999228,57980.25989999997,26075.0,325786.9968999922,385747.33909999987
8024,0.06793781962271819,0.059888585369697774,2755.0,1309.0,5269.0,0.6779035433070866,0.34334496510468593,241251.13599999232,58048.31999999997,26345.0,325644.45599999226,385889.87999999983
8083,0.0684373624140617,0.059291548972452056,2761.0,1303.0,5322.0,0.6793799212598425,0.34158109612767534,239390.7849999923,58258.35509999997,26610.0,324259.1400999923,387275.1958999998
8142,0.06893690520540523,0.058766180800765705,2770.0,1294.0,5372.0,0.6815944881889764,0.34021125030704985,237200.20099999232,58513.413499999966,26860.0,322573.6144999923,388960.7214999998
8201,0.06943644799674874,0.058263727335015135,2771.0,1293.0,5430.0,0.6818405511811023,0.33788562370442626,237115.20099999232,58525.913499999966,27150.0,322791.1144999923,388743.2214999998
8260,0.06993599078809225,0.0577469001737006,2776.0,1288.0,5484.0,0.6830708661417323,0.3360774818401937,236123.4039999923,58645.09319999997,27420.0,322188.49719999224,389345.83879999985
8319,0.07043553357943577,0.05728586679557987,2779.0,1285.0,5540.0,0.6838090551181102,0.33405457386705134,235644.1329999923,58705.02029999997,27700.0,322049.15329999226,389485.18269999983
8378,0.07093507637077928,0.05680797021106165,2782.0,1282.0,5596.0,0.6845472440944882,0.3320601575555025,234493.1329999923,58832.12029999997,27980.0,321305.25329999224,390229.08269999985
8437,0.0714346191621228,0.05617761121739912,2786.0,1278.0,5651.0,0.6855314960629921,0.3302121607206353,233657.49399999226,58931.684199999974,28255.0,320844.1781999922,390690.15779999987
8496,0.07193416195346632,0.055731688740412885,2790.0,1274.0,5706.0,0.6865157480314961,0.3283898305084746,231706.49399999226,59142.78419999997,28530.0,319379.27819999226,392155.05779999983
8555,0.07243370474480984,0.055360922373675195,2794.0,1270.0,5761.0,0.6875,0.3265926358854471,230966.43099999224,59232.790499999974,28805.0,319004.2214999922,392530.1144999999
8614,0.07293324753615335,0.05482645699511643,2799.0,1265.0,5815.0,0.68873031496063,0.3249361504527513,229441.70599999226,59405.26299999997,29075.0,317921.96899999224,393612.36699999985
8673,0.07343279032749686,0.054234462405692324,2803.0,1261.0,5870.0,0.6897145669291339,0.3231869018793958,228952.14999999222,59470.21859999998,29350.0,317772.3685999922,393761.9673999999
8732,0.07393233311884038,0.0538744298308862,2810.0,1254.0,5922.0,0.6914370078740157,0.3218048557031608,228152.6999999922,59578.16359999998,29610.0,317340.8635999922,394193.4723999999
8791,0.0744318759101839,0.053487274508670475,2813.0,1251.0,5978.0,0.6921751968503937,0.3199863496758048,227868.6999999922,59618.56359999998,29890.0,317377.2635999922,394157.0723999999
8850,0.07493141870152742,0.05303132373549911,2819.0,1245.0,6031.0,0.6936515748031497,0.3185310734463277,226618.6909999922,59767.56449999998,30155.0,316541.25549999217,394993.0804999999
8909,0.07543096149287093,0.052621753507211856,2824.0,1240.0,6085.0,0.6948818897637795,0.31698282635537095,224932.8909999922,59956.14449999998,30425.0,315314.0354999922,396220.3004999999
